transaction_id,timestamp,customer_id,product_id,quantity,discount_applied,gross_revenue,campaign_id,refund_flag
1,2021-12-27 08:25:15,59540,1630.0,3,0.0,43.74,0,0
2,2023-06-06 21:14:26,54871,1901.0,3,0.0,174.78,21,0
3,2023-08-31 05:29:54,51818,1884.0,1,0.0,40.61,37,0
4,2022-06-26 20:33:46,18164,1114.0,2,0.15,68.76,13,0
5,2023-07-26 18:12:35,86915,408.0,1,0.0,14.64,4,0
6,2023-01-19 14:05:58,10749,1635.0,2,0.0,169.74,13,0
7,2023-07-28 09:37:53,25984,244.0,2,0.0,42.48,21,0
8,2022-07-10 07:29:15,85140,1296.0,1,0.0,36.95,2,0
9,2023-11-02 05:22:44,52930,1512.0,1,0.0,125.59,23,0
10,2021-01-25 06:28:42,69172,1433.0,1,0.15,48.72,44,0
11,2022-06-27 07:48:48,13992,154.0,2,0.0,94.7,13,0
12,2021-04-04 21:06:51,69122,781.0,1,0.2,-97.41,30,1
13,2023-03-09 15:36:33,45997,1513.0,1,0.0,100.76,43,0
14,2022-05-03 20:41:13,4344,1167.0,1,0.0,17.92,0,0
15,2021-07-27 16:22:47,30203,1099.0,1,0.0,123.87,46,0
16,2021-02-13 07:36:17,33154,,1,0.05,,29,0
17,2023-08-27 12:23:10,25737,1210.0,2,0.1,69.57,44,0
18,2023-03-30 16:42:58,75725,785.0,1,0.0,138.25,19,0
19,2021-07-26 14:10:11,11918,1960.0,1,0.0,251.08,19,0
20,2023-07-31 13:11:49,30583,899.0,1,0.0,-176.65,4,1
21,2023-03-29 19:49:38,52652,,1,0.0,,40,0
22,2021-08-01 15:47:25,30425,,1,0.15,,49,0
23,2022-11-29 12:58:47,58277,714.0,1,0.0,47.82,46,0
24,2022-09-16 14:44:36,34898,1813.0,1,0.0,18.39,36,0
25,2021-11-03 06:20:33,17574,780.0,3,0.0,178.05,33,0
26,2021-01-26 09:47:00,81956,561.0,1,0.0,73.88,21,0
27,2023-09-03 12:48:57,36945,1611.0,1,0.1,84.8,0,0
28,2022-05-16 14:05:23,91979,1.0,1,0.15,12.06,24,0
29,2022-08-13 07:29:18,2530,275.0,1,0.15,12.55,0,0
30,2021-09-19 16:44:49,25399,787.0,1,0.05,12.25,4,0
31,2022-01-17 13:07:07,5903,1461.0,1,0.2,26.79,34,0
32,2021-08-24 04:50:13,94982,386.0,1,0.0,28.55,0,0
33,2022-09-27 17:48:03,81409,814.0,1,0.0,27.33,37,0
34,2021-05-07 04:07:36,81957,722.0,1,0.0,45.88,24,0
35,2022-12-27 22:28:40,16728,1680.0,1,0.05,104.11,10,0
36,2022-10-04 07:05:23,2322,1129.0,1,0.1,59.99,14,0
37,2023-11-28 21:37:40,82265,1838.0,4,0.0,124.12,40,0
38,2023-09-07 05:51:38,6301,4.0,1,0.1,67.9,28,0
39,2021-01-18 20:52:06,29955,1543.0,1,0.1,39.83,0,0
40,2021-02-21 22:44:06,3897,966.0,1,0.0,71.93,0,0
41,2022-12-02 15:37:48,83860,408.0,1,0.0,14.64,38,0
42,2023-04-28 08:34:15,69804,42.0,3,0.15,197.45,27,0
43,2021-09-05 18:58:52,90703,1677.0,1,0.2,51.09,22,0
44,2021-03-11 22:04:36,91593,1236.0,1,0.15,78.91,16,0
45,2023-12-04 20:24:53,64997,460.0,1,0.0,55.97,1,0
46,2022-05-17 18:28:51,70071,773.0,1,0.0,60.0,5,0
47,2021-10-22 08:28:55,84477,1035.0,1,0.0,62.29,31,0
48,2021-11-18 16:02:21,18030,1056.0,1,0.1,55.4,31,0
49,2023-12-23 07:08:09,29815,98.0,1,0.0,79.4,16,0
50,2021-11-11 20:27:59,38085,558.0,1,0.0,146.29,18,0
51,2022-09-21 14:44:47,88270,457.0,3,0.1,71.52,16,0
52,2023-08-06 15:34:55,88590,747.0,1,0.0,41.36,13,0
53,2021-01-25 13:56:45,92155,841.0,1,0.0,44.12,7,0
54,2022-07-16 10:31:23,18777,1321.0,1,0.05,132.92,45,0
55,2022-05-23 10:01:59,26849,355.0,1,0.0,63.61,43,0
56,2023-06-13 04:11:11,1280,,3,0.15,,0,0
57,2023-07-24 18:14:07,12129,813.0,1,0.1,10.81,2,0
58,2022-07-23 20:38:49,32032,,1,0.05,,13,0
59,2021-07-27 16:12:46,23261,114.0,1,0.05,60.13,39,0
60,2022-03-04 23:55:09,69136,1733.0,1,0.0,22.72,8,0
61,2021-05-28 03:50:44,51876,1093.0,1,0.0,71.1,32,0
62,2021-10-26 11:12:25,89622,698.0,1,0.05,57.32,35,0
63,2022-12-23 12:38:44,96081,671.0,1,0.15,84.38,39,0
64,2021-09-28 17:12:29,48071,248.0,1,0.0,44.57,8,0
65,2023-03-06 20:03:17,24473,375.0,1,0.15,8.02,8,0
66,2023-05-02 08:21:53,34929,613.0,2,0.0,60.88,45,0
67,2022-09-01 14:54:26,42861,1088.0,1,0.0,60.06,21,0
68,2022-03-25 17:32:28,28452,1202.0,1,0.0,60.2,32,0
69,2022-04-30 17:33:31,66995,1691.0,2,0.0,147.3,13,0
70,2022-07-08 15:55:28,73328,1809.0,1,0.0,97.21,49,0
71,2023-06-16 14:48:36,98281,,1,0.0,,38,0
72,2023-04-24 06:26:05,49399,736.0,1,0.0,10.13,0,0
73,2022-08-31 07:06:03,45874,352.0,1,0.05,10.09,3,0
74,2021-12-19 01:50:41,42309,1321.0,1,0.1,125.93,20,0
75,2023-04-23 05:16:43,68810,362.0,1,0.0,137.36,44,0
76,2021-01-13 17:24:44,15162,163.0,3,0.2,197.02,6,0
77,2023-08-06 13:53:27,79934,1715.0,1,0.1,64.71,0,0
78,2022-06-21 16:58:36,61465,1883.0,1,0.15,21.11,5,0
79,2022-01-19 22:58:12,74249,103.0,1,0.05,64.07,0,0
80,2023-04-16 18:29:50,56933,1025.0,1,0.0,97.87,44,0
81,2021-10-31 04:51:08,52034,1122.0,1,0.0,55.07,35,0
82,2022-06-01 22:05:22,7319,1880.0,2,0.0,53.46,48,0
83,2021-09-16 20:30:16,99840,105.0,1,0.05,81.48,13,0
84,2021-08-18 07:33:26,14316,1433.0,1,0.0,57.32,40,0
85,2021-01-15 12:43:09,25867,1543.0,3,0.0,132.75,14,0
86,2021-10-10 16:40:36,8983,1903.0,1,0.15,49.03,15,0
87,2021-04-13 15:54:33,68463,686.0,1,0.0,133.2,16,0
88,2023-01-25 20:28:58,42213,1709.0,1,0.1,-46.32,9,1
89,2022-10-10 15:51:12,80661,230.0,1,0.1,85.15,42,0
90,2021-08-07 19:36:40,92375,1413.0,1,0.0,52.91,0,0
91,2021-12-12 13:07:35,77759,380.0,1,0.0,116.8,2,0
92,2022-08-31 06:02:02,69456,1966.0,2,0.0,544.88,7,0
93,2023-08-05 09:27:43,43834,213.0,1,0.0,45.75,50,0
94,2023-05-24 06:31:42,43424,1572.0,1,0.1,20.74,15,0
95,2023-11-29 16:42:12,25556,1796.0,2,0.0,206.96,16,0
96,2021-11-03 18:21:28,2502,952.0,4,0.05,322.7,18,0
97,2023-11-04 18:12:19,89129,,1,0.0,,21,1
98,2021-12-10 05:38:40,1885,358.0,3,0.0,347.82,0,0
99,2021-09-13 11:18:26,2817,,4,0.05,,45,0
100,2023-02-24 11:20:54,83870,,1,0.0,,18,0
101,2023-01-21 07:15:42,55614,1617.0,2,0.0,124.26,17,0
102,2021-11-22 20:51:12,87434,1140.0,2,0.0,211.88,29,0
103,2022-03-27 04:22:21,50598,1189.0,1,0.0,23.91,45,0
104,2021-09-26 07:26:48,6832,300.0,1,0.2,61.06,16,0
105,2021-07-11 07:02:03,43544,1923.0,1,0.0,56.48,14,0
106,2021-05-16 22:05:45,37469,1344.0,1,0.2,10.4,42,0
107,2022-03-13 10:40:06,64614,1828.0,1,0.0,70.58,9,0
